"journal","issn","quartile","impact_factor","category","jcr_year"
"Carbon Letters","2233-4998","Q2","6.2","Multiple","2025"
"CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY","1040-8428","Q1","6.2","Multiple","2025"
"CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY","1879-0461","Q1","6.2","Multiple","2025"
"Journal of Materials Chemistry B","2050-750X","Q2","6.2","MATERIALS SCIENCE, BIOMATERIALS","2025"
"Journal of Materials Chemistry B","2050-7518","Q2","6.2","MATERIALS SCIENCE, BIOMATERIALS","2025"
"EXCLI Journal","1611-2156","Q1","6.2","BIOLOGY","2025"
"Results in Surfaces and Interfaces","N/A","Q2","6.2","MATERIALS SCIENCE, MULTIDISCIPLINARY","2025"
"Results in Surfaces and Interfaces","2666-8459","Q2","6.2","MATERIALS SCIENCE, MULTIDISCIPLINARY","2025"
"Chemical Physics Reviews","N/A","Q1","6.2","Multiple","2025"
"Chemical Physics Reviews","2688-4070","Q1","6.2","Multiple","2025"
"HARVARD BUSINESS REVIEW","0017-8012","Q1","6.2","Multiple","2025"
"PEDIATRICS","0031-4005","Q1","6.1","PEDIATRICS","2025"
"PEDIATRICS","1098-4275","Q1","6.1","PEDIATRICS","2025"
"American Economic Journal-Applied Economics","1945-7782","Q1","6.1","ECONOMICS","2025"
"American Economic Journal-Applied Economics","1945-7790","Q1","6.1","ECONOMICS","2025"
"Translational Research","1931-5244","Q1","6.1","Multiple","2025"
"Translational Research","1878-1810","Q1","6.1","Multiple","2025"
"Structural Change and Economic Dynamics","0954-349X","Q1","6.1","ECONOMICS","2025"
"Structural Change and Economic Dynamics","1873-6017","Q1","6.1","ECONOMICS","2025"
"European Heart Journal-Cardiovascular Imaging","2047-2404","Q1","6.1","Multiple","2025"
"European Heart Journal-Cardiovascular Imaging","2047-2412","Q1","6.1","Multiple","2025"
"Globalization and Health","N/A","Q1","6.1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"Globalization and Health","1744-8603","Q1","6.1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"MEASUREMENT","0263-2241","Q1","6.1","Multiple","2025"
"MEASUREMENT","1873-412X","Q1","6.1","Multiple","2025"
"ACM Transactions on Quantum Computing","2643-6809","Q1","6.1","Multiple","2025"
"ACM Transactions on Quantum Computing","2643-6817","Q1","6.1","Multiple","2025"
"Analytica Chimica Acta","0003-2670","Q1","6.1","CHEMISTRY, ANALYTICAL","2025"
"Analytica Chimica Acta","1873-4324","Q1","6.1","CHEMISTRY, ANALYTICAL","2025"
"Journal of High Energy Astrophysics","2214-4048","Q1","6.1","ASTRONOMY & ASTROPHYSICS","2025"
"Journal of High Energy Astrophysics","2214-4056","Q1","6.1","ASTRONOMY & ASTROPHYSICS","2025"
"High Power Laser Science and Engineering","2095-4719","Q1","6.1","OPTICS","2025"
"High Power Laser Science and Engineering","2052-3289","Q1","6.1","OPTICS","2025"
"Gastric Cancer","1436-3291","Q1","6.1","Multiple","2025"
"Gastric Cancer","1436-3305","Q1","6.1","Multiple","2025"
"CALIFORNIA MANAGEMENT REVIEW","0008-1256","Q1","6.1","Multiple","2025"
"CALIFORNIA MANAGEMENT REVIEW","2162-8564","Q1","6.1","Multiple","2025"
"JACC-Asia","2772-3747","Q1","6.1","CARDIAC & CARDIOVASCULAR SYSTEMS","2025"
"Circulation-Genomic and Precision Medicine","2574-8300","Q1","6.1","Multiple","2025"
"KOREAN JOURNAL OF RADIOLOGY","1229-6929","Q1","6.1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","2025"
"KOREAN JOURNAL OF RADIOLOGY","2005-8330","Q1","6.1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","2025"
"DIABETES OBESITY & METABOLISM","1462-8902","Q1","6.1","ENDOCRINOLOGY & METABOLISM","2025"
"DIABETES OBESITY & METABOLISM","1463-1326","Q1","6.1","ENDOCRINOLOGY & METABOLISM","2025"
"Journal of Neuroimmune Pharmacology","1557-1890","Q1","6.1","Multiple","2025"
"Journal of Neuroimmune Pharmacology","1557-1904","Q1","6.1","Multiple","2025"
"JMIR AI","N/A","Q1","6.1","Multiple","2025"
"JMIR AI","2817-1705","Q1","6.1","Multiple","2025"
"ASTRONOMY & ASTROPHYSICS","0004-6361","Q1","6.1","ASTRONOMY & ASTROPHYSICS","2025"
"ASTRONOMY & ASTROPHYSICS","1432-0746","Q1","6.1","ASTRONOMY & ASTROPHYSICS","2025"
"Environmental Innovation and Societal Transitions","2210-4224","Q1","6.1","Multiple","2025"
"Environmental Innovation and Societal Transitions","2210-4232","Q1","6.1","Multiple","2025"
"Drug Design Development and Therapy","1177-8881","Q1","6.1","Multiple","2025"
"Drug Design Development and Therapy","N/A","Q1","6.1","Multiple","2025"
"INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION","1044-7318","Q1","6.1","Multiple","2025"
"INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION","1532-7590","Q1","6.1","Multiple","2025"
"Big Data Mining and Analytics","N/A","Q1","6.1","Multiple","2025"
"Big Data Mining and Analytics","2096-0654","Q1","6.1","Multiple","2025"
"Machine Learning with Applications","N/A","Q1","6.1","Multiple","2025"
"Machine Learning with Applications","2666-8270","Q1","6.1","Multiple","2025"
"IEEE TRANSACTIONS ON ENERGY CONVERSION","0885-8969","Q1","6.1","Multiple","2025"
"IEEE TRANSACTIONS ON ENERGY CONVERSION","1558-0059","Q1","6.1","Multiple","2025"
"QUARTERLY REVIEWS OF BIOPHYSICS","0033-5835","Q1","6.1","BIOPHYSICS","2025"
"QUARTERLY REVIEWS OF BIOPHYSICS","1469-8994","Q1","6.1","BIOPHYSICS","2025"
"Journal of Global Fashion Marketing","2093-2685","Q1","6.1","BUSINESS","2025"
"Journal of Global Fashion Marketing","2325-4483","Q1","6.1","BUSINESS","2025"
"Virtual Reality & Intelligent Hardware","2096-5796","Q1","6.1","Multiple","2025"
"Virtual Reality & Intelligent Hardware","2666-1209","Q1","6.1","Multiple","2025"
"Agriculture & Food Security","N/A","Q1","6.1","Multiple","2025"
"Agriculture & Food Security","2048-7010","Q1","6.1","Multiple","2025"
"International Journal of Neural Systems","0129-0657","Q2","6.1","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2025"
"International Journal of Neural Systems","1793-6462","Q2","6.1","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2025"
"Cleaner and Responsible Consumption","2666-7843","Q1","6.1","Multiple","2025"
"GIANT","2666-5425","Q1","6.1","Multiple","2025"
"Wiley Interdisciplinary Reviews-Computational Statistics","1939-0068","Q1","6.1","STATISTICS & PROBABILITY","2025"
"JOURNAL OF CELL BIOLOGY","0021-9525","Q2","6.1","CELL BIOLOGY","2025"
"JOURNAL OF CELL BIOLOGY","1540-8140","Q2","6.1","CELL BIOLOGY","2025"
"INDUSTRIAL MANAGEMENT & DATA SYSTEMS","0263-5577","Q1","6.1","Multiple","2025"
"INDUSTRIAL MANAGEMENT & DATA SYSTEMS","1758-5783","Q1","6.1","Multiple","2025"
"Current Neuropharmacology","1570-159X","Q1","6.1","Multiple","2025"
"Current Neuropharmacology","1875-6190","Q1","6.1","Multiple","2025"
"Advances in Industrial and Manufacturing Engineering","2666-9129","Q1","6.1","Multiple","2025"
"INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT","0948-3349","Q1","6.1","Multiple","2025"
"INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT","1614-7502","Q1","6.1","Multiple","2025"
"Biomaterials Science","2047-4830","Q2","6.1","MATERIALS SCIENCE, BIOMATERIALS","2025"
"Biomaterials Science","2047-4849","Q2","6.1","MATERIALS SCIENCE, BIOMATERIALS","2025"
"Smart Energy","2666-9552","Q2","6.1","ENERGY & FUELS","2025"
"AI & Society","0951-5666","Q2","6.1","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2025"
"AI & Society","1435-5655","Q2","6.1","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2025"
"Engineering Microbiology","2097-4280","Q1","6.1","Multiple","2025"
"Engineering Microbiology","2667-3703","Q1","6.1","Multiple","2025"
"RSC Advances","N/A","Q2","6.1","CHEMISTRY, MULTIDISCIPLINARY","2025"
"RSC Advances","2046-2069","Q2","6.1","CHEMISTRY, MULTIDISCIPLINARY","2025"
"Biomass-Switzerland","N/A","Q1","6.1","ENGINEERING, CHEMICAL","2025"
"Biomass-Switzerland","2673-8783","Q1","6.1","ENGINEERING, CHEMICAL","2025"
"Journal of Clinical Anesthesia","0952-8180","Q1","6.0","ANESTHESIOLOGY","2025"
"Journal of Clinical Anesthesia","1873-4529","Q1","6.0","ANESTHESIOLOGY","2025"
"JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY","0022-006X","Q1","6.0","PSYCHOLOGY, CLINICAL","2025"
"JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY","1939-2117","Q1","6.0","PSYCHOLOGY, CLINICAL","2025"
"Body Image","1740-1445","Q1","6.0","Multiple","2025"
"Body Image","1873-6807","Q1","6.0","Multiple","2025"
"RESUSCITATION","0300-9572","Q1","6.0","Multiple","2025"
"RESUSCITATION","1873-1570","Q1","6.0","Multiple","2025"
"Journal of International Financial Markets Institutions & Money","1042-4431","Q1","6.0","Multiple","2025"
"Journal of International Financial Markets Institutions & Money","1873-0612","Q1","6.0","Multiple","2025"
"Psychosocial Intervention","1132-0559","Q1","6.0","PSYCHOLOGY, MULTIDISCIPLINARY","2025"
"Psychosocial Intervention","2173-4712","Q1","6.0","PSYCHOLOGY, MULTIDISCIPLINARY","2025"
"PHARMACEUTICAL BIOLOGY","1388-0209","Q1","6.0","Multiple","2025"
"PHARMACEUTICAL BIOLOGY","1744-5116","Q1","6.0","Multiple","2025"
"International Journal of Pharmaceutics","0378-5173","Q1","6.0","PHARMACOLOGY & PHARMACY","2025"
"International Journal of Pharmaceutics","1873-3476","Q1","6.0","PHARMACOLOGY & PHARMACY","2025"
"EUROPEAN RADIOLOGY","0938-7994","Q1","6.0","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","2025"
"EUROPEAN RADIOLOGY","1432-1084","Q1","6.0","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","2025"
"INFORMATION SCIENCES","0020-0255","Q1","6.0","COMPUTER SCIENCE, INFORMATION SYSTEMS","2025"
"INFORMATION SCIENCES","1872-6291","Q1","6.0","COMPUTER SCIENCE, INFORMATION SYSTEMS","2025"
"Journal of NeuroEngineering and Rehabilitation","N/A","Q1","6.0","Multiple","2025"
"Journal of NeuroEngineering and Rehabilitation","1743-0003","Q1","6.0","Multiple","2025"
"Annals of the American Thoracic Society","2329-6933","Q1","6.0","RESPIRATORY SYSTEM","2025"
"Annals of the American Thoracic Society","2325-6621","Q1","6.0","RESPIRATORY SYSTEM","2025"
"IEEE TRANSACTIONS ON SOFTWARE ENGINEERING","0098-5589","Q1","6.0","Multiple","2025"
"IEEE TRANSACTIONS ON SOFTWARE ENGINEERING","1939-3520","Q1","6.0","Multiple","2025"
"INTERNATIONAL PSYCHOGERIATRICS","1041-6102","Q1","6.0","Multiple","2025"
"INTERNATIONAL PSYCHOGERIATRICS","1741-203X","Q1","6.0","Multiple","2025"
"MINERALS ENGINEERING","0892-6875","Q1","6.0","Multiple","2025"
"NEUROBIOLOGY OF DISEASE","0969-9961","Q1","6.0","NEUROSCIENCES","2025"
"NEUROBIOLOGY OF DISEASE","1095-953X","Q1","6.0","NEUROSCIENCES","2025"
"Global Health Research and Policy","N/A","Q1","6.0","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"Global Health Research and Policy","2397-0642","Q1","6.0","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES","1071-5819","Q1","6.0","Multiple","2025"
"INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES","1095-9300","Q1","6.0","Multiple","2025"
"Journal of the American Heart Association","N/A","Q1","6.0","CARDIAC & CARDIOVASCULAR SYSTEMS","2025"
"Journal of the American Heart Association","2047-9980","Q1","6.0","CARDIAC & CARDIOVASCULAR SYSTEMS","2025"
"IEEE Open Journal of the Computer Society","N/A","Q1","6.0","Multiple","2025"
"IEEE Open Journal of the Computer Society","2644-1268","Q1","6.0","Multiple","2025"
"GeroScience","2509-2715","Q1","6.0","GERIATRICS & GERONTOLOGY","2025"
"GeroScience","2509-2723","Q1","6.0","GERIATRICS & GERONTOLOGY","2025"
"Natural Resources Research","1520-7439","Q1","6.0","GEOSCIENCES, MULTIDISCIPLINARY","2025"
"Natural Resources Research","1573-8981","Q1","6.0","GEOSCIENCES, MULTIDISCIPLINARY","2025"
"DEVELOPMENTAL REVIEW","0273-2297","Q1","6.0","PSYCHOLOGY, DEVELOPMENTAL","2025"
"DEVELOPMENTAL REVIEW","1090-2406","Q1","6.0","PSYCHOLOGY, DEVELOPMENTAL","2025"
"THEORETICAL AND APPLIED FRACTURE MECHANICS","0167-8442","Q1","6.0","Multiple","2025"
"THEORETICAL AND APPLIED FRACTURE MECHANICS","1872-7638","Q1","6.0","Multiple","2025"
"NDT & E INTERNATIONAL","0963-8695","Q1","6.0","MATERIALS SCIENCE, CHARACTERIZATION & TESTING","2025"
"NDT & E INTERNATIONAL","1879-1174","Q1","6.0","MATERIALS SCIENCE, CHARACTERIZATION & TESTING","2025"
"Spanish Journal of Marketing-ESIC","2444-9695","Q1","6.0","Multiple","2025"
"Spanish Journal of Marketing-ESIC","2444-9709","Q1","6.0","Multiple","2025"
"Hepatology Communications","N/A","Q1","6.0","GASTROENTEROLOGY & HEPATOLOGY","2025"
"Hepatology Communications","2471-254X","Q1","6.0","GASTROENTEROLOGY & HEPATOLOGY","2025"
"Ceramics International","0272-8842","Q1","6.0","MATERIALS SCIENCE, CERAMICS","2025"
"Ceramics International","1873-3956","Q1","6.0","MATERIALS SCIENCE, CERAMICS","2025"
"International Journal of Bank Marketing","0265-2323","Q1","6.0","BUSINESS","2025"
"International Journal of Bank Marketing","1758-5937","Q1","6.0","BUSINESS","2025"
"Oncogenesis","2157-9024","Q1","6.0","ONCOLOGY","2025"
"JOURNAL OF MANAGEMENT IN ENGINEERING","0742-597X","Q1","6.0","Multiple","2025"
"JOURNAL OF MANAGEMENT IN ENGINEERING","1943-5479","Q1","6.0","Multiple","2025"
"American Journal of Medicine","0002-9343","Q1","6.0","MEDICINE, GENERAL & INTERNAL","2025"
"American Journal of Medicine","1555-7162","Q1","6.0","MEDICINE, GENERAL & INTERNAL","2025"
"ACS Photonics","2330-4022","Q1","6.0","Multiple","2025"
"ACS Photonics","N/A","Q1","6.0","Multiple","2025"
"Young Consumers","1758-7212","Q1","6.0","BUSINESS","2025"
"Young Consumers","1747-3616","Q1","6.0","BUSINESS","2025"
"Surfaces and Interfaces","2468-0230","Q1","6.0","Multiple","2025"
"Marketing Intelligence & Planning","0263-4503","Q1","6.0","BUSINESS","2025"
"Marketing Intelligence & Planning","1758-8049","Q1","6.0","BUSINESS","2025"
"Journal of Inorganic and Organometallic Polymers and Materials","1574-1443","Q1","6.0","POLYMER SCIENCE","2025"
"Journal of Inorganic and Organometallic Polymers and Materials","1574-1451","Q1","6.0","POLYMER SCIENCE","2025"
"ROBOTICS AND AUTONOMOUS SYSTEMS","0921-8890","Q1","6.0","Multiple","2025"
"ROBOTICS AND AUTONOMOUS SYSTEMS","1872-793X","Q1","6.0","Multiple","2025"
"Health Care Science","2771-1749","Q1","6.0","HEALTH CARE SCIENCES & SERVICES","2025"
"Health Care Science","2771-1757","Q1","6.0","HEALTH CARE SCIENCES & SERVICES","2025"
"Advanced Devices & Instrumentation","N/A","Q1","6.0","Multiple","2025"
"Advanced Devices & Instrumentation","2767-9713","Q1","6.0","Multiple","2025"
"EMBO REPORTS","1469-221X","Q1","6.0","Multiple","2025"
"EMBO REPORTS","1469-3178","Q1","6.0","Multiple","2025"
"MASS SPECTROMETRY REVIEWS","0277-7037","Q1","6.0","SPECTROSCOPY","2025"
"MASS SPECTROMETRY REVIEWS","1098-2787","Q1","6.0","SPECTROSCOPY","2025"
"Foods","N/A","Q1","6.0","FOOD SCIENCE & TECHNOLOGY","2025"
"Foods","2304-8158","Q1","6.0","FOOD SCIENCE & TECHNOLOGY","2025"
"IEEE Transactions on Emerging Topics in Computational Intelligence","2471-285X","Q2","6.0","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2025"
"AUTONOMOUS ROBOTS","0929-5593","Q1","6.0","Multiple","2025"
"AUTONOMOUS ROBOTS","1573-7527","Q1","6.0","Multiple","2025"
"JOURNAL OF CATALYSIS","0021-9517","Q1","6.0","Multiple","2025"
"JOURNAL OF CATALYSIS","1090-2694","Q1","6.0","Multiple","2025"
"Journal of Clinical and Translational Hepatology","2225-0719","Q1","6.0","GASTROENTEROLOGY & HEPATOLOGY","2025"
"Journal of Clinical and Translational Hepatology","2310-8819","Q1","6.0","GASTROENTEROLOGY & HEPATOLOGY","2025"
"Biotechnology for Biofuels and Bioproducts","N/A","Q1","6.0","Multiple","2025"
"Biotechnology for Biofuels and Bioproducts","2731-3654","Q1","6.0","Multiple","2025"
"Expert Opinion on Drug Delivery","1742-5247","Q1","6.0","PHARMACOLOGY & PHARMACY","2025"
"Expert Opinion on Drug Delivery","1744-7593","Q1","6.0","PHARMACOLOGY & PHARMACY","2025"
"Renewable and Sustainable Energy Transition","N/A","Q2","6.0","Multiple","2025"
"Renewable and Sustainable Energy Transition","2667-095X","Q2","6.0","Multiple","2025"
"ACS Biomaterials Science & Engineering","2373-9878","Q2","6.0","MATERIALS SCIENCE, BIOMATERIALS","2025"
"Advanced Materials Technologies","2365-709X","Q2","6.0","MATERIALS SCIENCE, MULTIDISCIPLINARY","2025"
"Frontiers in Soil Science","N/A","Q1","6.0","SOIL SCIENCE","2025"
"Frontiers in Soil Science","2673-8619","Q1","6.0","SOIL SCIENCE","2025"
"Journal of Molecular Cell Biology","1674-2788","Q2","6.0","CELL BIOLOGY","2025"
"Journal of Molecular Cell Biology","1759-4685","Q2","6.0","CELL BIOLOGY","2025"
"Cambridge Prisms: Extinction","N/A","Q1","6.0","Multiple","2025"
"Cambridge Prisms: Extinction","2755-0958","Q1","6.0","Multiple","2025"
"ENERGY & FUELS","0887-0624","Q1","6.0","Multiple","2025"
"ENERGY & FUELS","1520-5029","Q1","6.0","Multiple","2025"
"Cells","N/A","Q2","6.0","CELL BIOLOGY","2025"
"Cells","2073-4409","Q2","6.0","CELL BIOLOGY","2025"
"New Microbes and New Infections","N/A","Q1","6.0","Multiple","2025"
"New Microbes and New Infections","2052-2975","Q1","6.0","Multiple","2025"
"Next Sustainability","N/A","Q2","6.0","Multiple","2025"
"Next Sustainability","2949-8236","Q2","6.0","Multiple","2025"
"Wiley Interdisciplinary Reviews-Energy and Environment","2041-8396","Q2","6.0","ENERGY & FUELS","2025"
"Wiley Interdisciplinary Reviews-Energy and Environment","2041-840X","Q2","6.0","ENERGY & FUELS","2025"
"Emerging Topics in Life Sciences","2397-8554","Q1","6.0","Multiple","2025"
"Emerging Topics in Life Sciences","2397-8562","Q1","6.0","Multiple","2025"
"AMERICAN POLITICAL SCIENCE REVIEW","0003-0554","Q1","5.9","POLITICAL SCIENCE","2025"
"AMERICAN POLITICAL SCIENCE REVIEW","1537-5943","Q1","5.9","POLITICAL SCIENCE","2025"
"Ophthalmology Retina","2468-6530","Q1","5.9","OPHTHALMOLOGY","2025"
"Ophthalmology Retina","N/A","Q1","5.9","OPHTHALMOLOGY","2025"
"POLITICAL COMMUNICATION","1058-4609","Q1","5.9","Multiple","2025"
"POLITICAL COMMUNICATION","1091-7675","Q1","5.9","Multiple","2025"
"JOURNAL OF DEMOCRACY","1045-5736","Q1","5.9","POLITICAL SCIENCE","2025"
"JOURNAL OF DEMOCRACY","1086-3214","Q1","5.9","POLITICAL SCIENCE","2025"
"PUBLIC ADMINISTRATION REVIEW","0033-3352","Q1","5.9","PUBLIC ADMINISTRATION","2025"
"PUBLIC ADMINISTRATION REVIEW","1540-6210","Q1","5.9","PUBLIC ADMINISTRATION","2025"
"BEST PRACTICE & RESEARCH CLINICAL OBSTETRICS & GYNAECOLOGY","1521-6934","Q1","5.9","OBSTETRICS & GYNECOLOGY","2025"
"BEST PRACTICE & RESEARCH CLINICAL OBSTETRICS & GYNAECOLOGY","1532-1932","Q1","5.9","OBSTETRICS & GYNECOLOGY","2025"
"CHINA ECONOMIC REVIEW","1043-951X","Q1","5.9","ECONOMICS","2025"
"CHINA ECONOMIC REVIEW","1873-7781","Q1","5.9","ECONOMICS","2025"
"International Journal of Tourism Research","1099-2340","Q1","5.9","HOSPITALITY, LEISURE, SPORT & TOURISM","2025"
"International Journal of Tourism Research","1522-1970","Q1","5.9","HOSPITALITY, LEISURE, SPORT & TOURISM","2025"
"Telematics and Informatics Reports","N/A","Q1","5.9","INFORMATION SCIENCE & LIBRARY SCIENCE","2025"
"Telematics and Informatics Reports","2772-5030","Q1","5.9","INFORMATION SCIENCE & LIBRARY SCIENCE","2025"
"Plant Diversity","2096-2703","Q1","5.9","PLANT SCIENCES","2025"
"Plant Diversity","2468-2659","Q1","5.9","PLANT SCIENCES","2025"
"ADDICTION","0965-2140","Q1","5.9","Multiple","2025"
"ADDICTION","1360-0443","Q1","5.9","Multiple","2025"
"IEEE Transactions on Technology and Society","N/A","Q1","5.9","Multiple","2025"
"IEEE Transactions on Technology and Society","2637-6415","Q1","5.9","Multiple","2025"
"INORGANIC CHEMISTRY COMMUNICATIONS","1387-7003","Q1","5.9","CHEMISTRY, INORGANIC & NUCLEAR","2025"
"INORGANIC CHEMISTRY COMMUNICATIONS","1879-0259","Q1","5.9","CHEMISTRY, INORGANIC & NUCLEAR","2025"
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","1365-8816","Q1","5.9","Multiple","2025"
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","1362-3087","Q1","5.9","Multiple","2025"
"Molecular Ecology Resources","1755-098X","Q1","5.9","Multiple","2025"
"Molecular Ecology Resources","1755-0998","Q1","5.9","Multiple","2025"
"JOURNAL OF THE ROYAL SOCIETY OF MEDICINE","0141-0768","Q1","5.9","MEDICINE, GENERAL & INTERNAL","2025"
"JOURNAL OF THE ROYAL SOCIETY OF MEDICINE","1758-1095","Q1","5.9","MEDICINE, GENERAL & INTERNAL","2025"
"IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS","1045-9219","Q1","5.9","Multiple","2025"
"IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS","1558-2183","Q1","5.9","Multiple","2025"
"CLINICAL ORAL IMPLANTS RESEARCH","0905-7161","Q1","5.9","Multiple","2025"
"CLINICAL ORAL IMPLANTS RESEARCH","1600-0501","Q1","5.9","Multiple","2025"
"OCEAN & COASTAL MANAGEMENT","0964-5691","Q1","5.9","Multiple","2025"
"OCEAN & COASTAL MANAGEMENT","1873-524X","Q1","5.9","Multiple","2025"
"Future Generation Computer Systems-The International Journal of eScience","0167-739X","Q1","5.9","COMPUTER SCIENCE, THEORY & METHODS","2025"
"Future Generation Computer Systems-The International Journal of eScience","1872-7115","Q1","5.9","COMPUTER SCIENCE, THEORY & METHODS","2025"
"Computers & Education: X Reality","N/A","Q1","5.9","Multiple","2025"
"Computers & Education: X Reality","2949-6780","Q1","5.9","Multiple","2025"
"DRUG SAFETY","0114-5916","Q1","5.9","Multiple","2025"
"DRUG SAFETY","1179-1942","Q1","5.9","Multiple","2025"
"BIOMACROMOLECULES","1525-7797","Q1","5.9","Multiple","2025"
"BIOMACROMOLECULES","1526-4602","Q1","5.9","Multiple","2025"
"SMALL BUSINESS ECONOMICS","0921-898X","Q1","5.9","Multiple","2025"
"SMALL BUSINESS ECONOMICS","1573-0913","Q1","5.9","Multiple","2025"
"IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION","0018-926X","Q1","5.9","Multiple","2025"
"IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION","1558-2221","Q1","5.9","Multiple","2025"
"PSYCHIATRY AND CLINICAL NEUROSCIENCES","1323-1316","Q1","5.9","Multiple","2025"
"PSYCHIATRY AND CLINICAL NEUROSCIENCES","1440-1819","Q1","5.9","Multiple","2025"
"CURRENT OPINION IN PSYCHIATRY","0951-7367","Q1","5.9","PSYCHIATRY","2025"
"CURRENT OPINION IN PSYCHIATRY","1473-6578","Q1","5.9","PSYCHIATRY","2025"
"MECHANISM AND MACHINE THEORY","0094-114X","Q1","5.9","ENGINEERING, MECHANICAL","2025"
"MECHANISM AND MACHINE THEORY","1873-3999","Q1","5.9","ENGINEERING, MECHANICAL","2025"
"Foundations and Trends in Signal Processing","1932-8346","Q1","5.9","ENGINEERING, ELECTRICAL & ELECTRONIC","2025"
"Foundations and Trends in Signal Processing","1932-8354","Q1","5.9","ENGINEERING, ELECTRICAL & ELECTRONIC","2025"
"Journal of Exposure Science and Environmental Epidemiology","1559-0631","Q1","5.9","Multiple","2025"
"Journal of Exposure Science and Environmental Epidemiology","1559-064X","Q1","5.9","Multiple","2025"
"REGIONAL STUDIES","0034-3404","Q1","5.9","Multiple","2025"
"REGIONAL STUDIES","1360-0591","Q1","5.9","Multiple","2025"
"Combustion and Flame","0010-2180","Q1","5.9","Multiple","2025"
"Combustion and Flame","1556-2921","Q1","5.9","Multiple","2025"
"Frontiers in Plant Science","1664-462X","Q1","5.9","PLANT SCIENCES","2025"
"JOURNAL OF CLINICAL MICROBIOLOGY","0095-1137","Q1","5.9","MICROBIOLOGY","2025"
"JOURNAL OF CLINICAL MICROBIOLOGY","1098-660X","Q1","5.9","MICROBIOLOGY","2025"
"Journal of Parkinsons Disease","1877-7171","Q1","5.9","NEUROSCIENCES","2025"
"Journal of Parkinsons Disease","1877-718X","Q1","5.9","NEUROSCIENCES","2025"
"COLLOIDS AND SURFACES B-BIOINTERFACES","0927-7765","Q1","5.9","Multiple","2025"
"COLLOIDS AND SURFACES B-BIOINTERFACES","1873-4367","Q1","5.9","Multiple","2025"
"Stem Cells Translational Medicine","2157-6564","Q1","5.9","CELL & TISSUE ENGINEERING","2025"
"Stem Cells Translational Medicine","2157-6580","Q1","5.9","CELL & TISSUE ENGINEERING","2025"
"Cancer & Metabolism","N/A","Q1","5.9","Multiple","2025"
"Cancer & Metabolism","2049-3002","Q1","5.9","Multiple","2025"
"IEEE TRANSACTIONS ON BROADCASTING","0018-9316","Q1","5.9","Multiple","2025"
"IEEE TRANSACTIONS ON BROADCASTING","1557-9611","Q1","5.9","Multiple","2025"
"GENE THERAPY","0969-7128","Q1","5.9","Multiple","2025"
"GENE THERAPY","1476-5462","Q1","5.9","Multiple","2025"
"Food Quality and Preference","0950-3293","Q1","5.9","FOOD SCIENCE & TECHNOLOGY","2025"
"Food Quality and Preference","1873-6343","Q1","5.9","FOOD SCIENCE & TECHNOLOGY","2025"
"EUROPEAN JOURNAL OF MARKETING","0309-0566","Q1","5.9","BUSINESS","2025"
"EUROPEAN JOURNAL OF MARKETING","1758-7123","Q1","5.9","BUSINESS","2025"
"Applications in Energy and Combustion Science","2666-352X","Q1","5.9","Multiple","2025"
"JOURNAL OF BIOMEDICAL INFORMATICS","1532-0464","Q2","5.9","Multiple","2025"
"JOURNAL OF BIOMEDICAL INFORMATICS","1532-0480","Q2","5.9","Multiple","2025"
"International Journal of Agricultural Sustainability","1473-5903","Q1","5.9","Multiple","2025"
"International Journal of Agricultural Sustainability","1747-762X","Q1","5.9","Multiple","2025"
